Invoice Number,Vendor,Amount
INV-000001,Wayne Enterprises,898.60
INV-000002,Wayne Enterprises,168.85
INV-000003,Massive Dynamic,-182.23
INV-000004,Soylent Corp,104.88
INV-000005,Cyberdyne Systems,418.85
INV-000006,Globex,511.87
INV-000007,Cyberdyne Systems,967.84
INV-000008,Cyberdyne Systems,-74.33
INV-000009,Stark Industries,76.21
INV-000010,Initech,995.16
INV-000011,Globex,60.15
INV-000012,Initech,881.75
INV-000013,Massive Dynamic,-275.91
INV-000014,Stark Industries,996.43
INV-000015,Stark Industries,614.27
INV-000016,Acme Corp,573.10
INV-000017,Stark Industries,107.06
INV-000018,Acme Corp,674.77
INV-000019,Soylent Corp,583.05
INV-000020,Cyberdyne Systems,842.83
INV-000021,Wayne Enterprises,249.52
INV-000022,Globex,75.31
INV-000023,Soylent Corp,433.00
INV-000024,Massive Dynamic,325.87
INV-000025,Cyberdyne Systems,681.72
INV-000026,Cyberdyne Systems,422.91
INV-000027,Globex,810.18
INV-000028,Acme Corp,238.16
INV-000029,Cyberdyne Systems,585.84
INV-000030,Cyberdyne Systems,423.11
INV-000031,Wayne Enterprises,151.44
INV-000032,Wayne Enterprises,639.90
INV-000033,Soylent Corp,598.25
INV-000034,Soylent Corp,905.71
INV-000035,Stark Industries,659.77
INV-000036,Initech,584.88
INV-000037,Soylent Corp,893.66
INV-000038,Cyberdyne Systems,394.99
INV-000039,Acme Corp,190.90
INV-000040,Cyberdyne Systems,122.13
INV-000041,Massive Dynamic,442.98
INV-000042,Soylent Corp,191.20
INV-000043,Wayne Enterprises,579.20
INV-000044,Cyberdyne Systems,319.70
INV-000045,Cyberdyne Systems,221.67
INV-000046,Massive Dynamic,43.37
INV-000047,Stark Industries,239.72
INV-000048,Stark Industries,647.22
INV-000049,Wayne Enterprises,523.29
INV-000050,Wayne Enterprises,500.59
INV-000051,Wayne Enterprises,119.73
INV-000052,Soylent Corp,660.53
INV-000053,Globex,120.94
INV-000054,Wayne Enterprises,81.16
INV-000055,Massive Dynamic,693.54
INV-000056,Acme Corp,232.24
INV-000057,Cyberdyne Systems,-405.15
INV-000058,Globex,289.31
INV-000059,Massive Dynamic,966.44
INV-000060,Initech,-194.02
INV-000061,Initech,204.74
INV-000062,Acme Corp,254.28
INV-000063,,81.93
INV-000064,Wayne Enterprises,130.94
INV-000065,Acme Corp,14.49
INV-000066,Soylent Corp,634.11
INV-000067,Globex,939.74
INV-000068,Acme Corp,770.23
INV-000069,Wayne Enterprises,117.99
INV-000070,Initech,348.35
INV-000071,Globex,94.28
INV-000072,Wayne Enterprises,772.23
INV-000073,Initech,242.80
INV-000074,Cyberdyne Systems,39.17
INV-000075,Globex,697.24
INV-000076,Globex,350.27
INV-000077,Globex,599.18
INV-000078,Wayne Enterprises,937.82
INV-000079,Initech,630.74
INV-000080,Initech,106.67
INV-000081,Soylent Corp,693.66
INV-000082,Initech,771.69
INV-000083,Massive Dynamic,96.32
INV-000084,Stark Industries,484.13
INV-000085,Cyberdyne Systems,27.90
INV-000086,Stark Industries,301.20
INV-000087,Massive Dynamic,944.06
INV-000088,Soylent Corp,429.21
INV-000089,Initech,153.96
INV-000090,,306.93
INV-000091,Initech,282.74
INV-000092,Massive Dynamic,429.75
INV-000093,Globex,336.18
INV-000094,Stark Industries,193.87
INV-000095,Initech,685.48
INV-000096,Acme Corp,51.93
INV-000097,Cyberdyne Systems,523.92
INV-000098,Cyberdyne Systems,39.49
INV-000099,Soylent Corp,711.23
INV-000100,Stark Industries,770.84
